prestamo_id,fecha_prestamo,fecha_devolucion,id_cliente,id_empleado,id_libro
1,05/07/2024,05/22/2024,1,1,1
2,05/04/2024,05/19/2024,2,1,2
3,03/25/2024,04/09/2024,2,2,3
4,02/26/2024,03/12/2024,3,2,4
5,05/15/2024,05/30/2024,3,4,4
6,06/06/2024,06/21/2024,3,4,5
7,01/19/2024,02/03/2024,4,1,6
8,04/09/2024,04/24/2024,5,4,5
9,03/24/2024,04/08/2024,6,2,2
10,04/27/2024,05/12/2024,6,4,6
11,05/19/2024,06/03/2024,7,2,1
12,01/16/2024,01/31/2024,5,3,1
13,01/02/2024,01/17/2024,8,4,7
14,02/02/2024,02/17/2024,6,2,4
15,02/13/2024,02/28/2024,5,1,2
16,06/07/2024,06/22/2024,6,3,6
17,02/10/2024,02/25/2024,2,4,8
18,01/22/2024,02/06/2024,1,2,4
19,03/21/2024,04/05/2024,6,1,3
20,03/11/2024,03/26/2024,7,3,3
21,01/01/2024,01/16/2024,9,1,7
22,05/17/2024,06/01/2024,10,3,2
23,03/13/2024,03/28/2024,1,2,4
24,03/11/2024,03/26/2024,4,4,6
25,04/02/2024,04/17/2024,10,4,4
26,02/15/2024,03/01/2024,1,3,5
27,05/13/2024,05/28/2024,9,3,3
28,01/04/2024,01/19/2024,5,3,9
29,03/06/2024,03/21/2024,2,1,3
30,01/29/2024,02/13/2024,8,4,5
31,03/07/2024,03/22/2024,4,2,4
32,06/26/2024,07/11/2024,8,1,9
33,04/11/2024,04/26/2024,1,3,5
34,02/08/2024,02/23/2024,9,3,10
35,06/22/2024,07/07/2024,3,1,6
36,02/09/2024,02/24/2024,1,4,10
37,05/26/2024,06/10/2024,4,3,7
38,03/04/2024,03/19/2024,8,2,7
39,02/08/2024,02/23/2024,9,3,8
40,03/14/2024,03/29/2024,8,1,9
41,03/09/2024,03/24/2024,4,3,1
42,03/19/2024,04/03/2024,8,1,6
43,02/21/2024,03/07/2024,2,4,7
44,03/21/2024,04/05/2024,9,2,10
45,03/10/2024,03/25/2024,6,3,7
46,01/30/2024,02/14/2024,2,2,9
47,05/14/2024,05/29/2024,3,1,6
48,04/01/2024,04/16/2024,7,2,7
49,06/07/2024,06/22/2024,7,4,1
50,05/13/2024,05/28/2024,4,1,5
